rank,title,title_jp,score,scored_by,members,year,genres,url
296,One Outs,ワンナウツ,8.32,122587,255564,2008,Sports|Suspense,https://myanimelist.net/anime/5040/One_Outs
297,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,Re：ゼロから始める異世界生活 2,8.32,746203,1263845,2020,Drama|Fantasy|Suspense,https://myanimelist.net/anime/39587/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season
289,Bakemonogatari,化物語,8.32,768434,1482734,2009,Mystery|Romance|Supernatural,https://myanimelist.net/anime/5081/Bakemonogatari
294,Kiseijuu: Sei no Kakuritsu,寄生獣 セイの格率,8.32,1244702,2025976,2014,Action|Horror|Sci-Fi|Suspense,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu
298,Usagi Drop,うさぎドロップ,8.32,254574,523131,2011,Slice of Life,https://myanimelist.net/anime/10162/Usagi_Drop
307,Major S6,メジャー 第6シリーズ,8.31,38929,67141,2010,Sports,https://myanimelist.net/anime/7655/Major_S6
301,Diamond no Ace: Second Season,ダイヤのA[エース]～Second Season～,8.31,82412,149683,2015,Sports,https://myanimelist.net/anime/30230/Diamond_no_Ace__Second_Season
309,Uma Musume: Pretty Derby Season 2,ウマ娘 プリティーダービー Season 2,8.31,56094,105796,2021,Sports,https://myanimelist.net/anime/42941/Uma_Musume__Pretty_Derby_Season_2
305,NHK ni Youkoso!,N・H・Kにようこそ！,8.31,369174,826818,2006,Comedy|Drama|Romance,https://myanimelist.net/anime/1210/NHK_ni_Youkoso
311,Dr. Stone: New World Part 2,Dr.STONE NEW WORLD,8.3,224754,417056,2023,Adventure|Comedy,https://myanimelist.net/anime/55644/Dr_Stone__New_World_Part_2
314,Ookami to Koushinryou II,狼と香辛料II,8.3,288851,519171,2009,Adventure|Drama|Romance|Supernatural,https://myanimelist.net/anime/5341/Ookami_to_Koushinryou_II
313,Natsume Yuujinchou,夏目友人帳,8.3,199026,584959,2008,Slice of Life|Supernatural,https://myanimelist.net/anime/4081/Natsume_Yuujinchou
313,Initial D Final Stage,頭文字 D Final Stage,8.3,84760,165291,2014,Action|Drama,https://myanimelist.net/anime/22507/Initial_D_Final_Stage
310,Boku dake ga Inai Machi,僕だけがいない街,8.3,1469100,2275506,2016,Mystery|Suspense,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi
322,Kingdom 2nd Season,キングダム 第2シリーズ,8.29,73844,148788,2013,Action,https://myanimelist.net/anime/17389/Kingdom_2nd_Season
328,Kemono no Souja Erin,獣の奏者エリン,8.29,22832,93971,2009,Drama|Fantasy,https://myanimelist.net/anime/5420/Kemono_no_Souja_Erin
323,Kuroko no Basket 3rd Season,黒子のバスケ,8.29,509805,826039,2015,Sports,https://myanimelist.net/anime/24415/Kuroko_no_Basket_3rd_Season
316,Katanagatari,刀語,8.29,223145,591165,2010,Action|Adventure|Romance,https://myanimelist.net/anime/6594/Katanagatari
327,Sakamichi no Apollon,坂道のアポロン,8.29,181957,413975,2012,Drama|Romance,https://myanimelist.net/anime/12531/Sakamichi_no_Apollon
319,Given,ギヴン,8.29,344481,631937,2019,Boys Love|Drama,https://myanimelist.net/anime/39533/Given
329,Tensei shitara Slime Datta Ken 2nd Season Part 2,転生したらスライムだった件,8.29,520149,896595,2021,Action|Comedy|Fantasy,https://myanimelist.net/anime/41487/Tensei_shitara_Slime_Datta_Ken_2nd_Season_Part_2
317,Beck,ベック,8.29,150308,372982,2004,Drama,https://myanimelist.net/anime/57/Beck
316,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,あの日見た花の名前を僕達はまだ知らない。,8.29,1031056,1699501,2011,Drama|Supernatural,https://myanimelist.net/anime/9989/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai
332,Naruto: Shippuuden,-ナルト- 疾風伝,8.29,1807771,2721982,2007,Action|Adventure|Fantasy,https://myanimelist.net/anime/1735/Naruto__Shippuuden
332,Yuukoku no Moriarty Part 2,憂国のモリアーティ,8.29,136180,289024,2021,Mystery|Suspense,https://myanimelist.net/anime/43325/Yuukoku_no_Moriarty_Part_2
333,Diamond no Ace: Act II,ダイヤのA[エース] actII,8.28,50588,100788,2019,Sports,https://myanimelist.net/anime/38731/Diamond_no_Ace__Act_II
335,Kino no Tabi: The Beautiful World,キノの旅 -the Beautiful World-,8.28,105453,352964,2003,Adventure|Drama|Fantasy,https://myanimelist.net/anime/486/Kino_no_Tabi__The_Beautiful_World
344,Gin no Saji 2nd Season,銀の匙,8.27,94382,154604,2014,Comedy,https://myanimelist.net/anime/19363/Gin_no_Saji_2nd_Season
355,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",シャングリラ・フロンティア～クソゲーハンター、神ゲーに挑まんとす～ 2nd season,8.26,126450,253711,2024,Action|Adventure|Fantasy,https://myanimelist.net/anime/58572/Shangri-La_Frontier__Kusoge_Hunter_Kamige_ni_Idoman_to_su_2nd_Season
