list_rank,bgm_rank,id,name,name_cn,year,score,votes,tags,url
110,170,84171,ハイキュー!!,排球少年,2014,8.1,9006,运动番|热血|2014年4月|ProductionI.G|运动|排球！！|漫画改|TV|Production.I.G|2014|漫改|校园|JUMP·运动类|JUMP|内山昂辉|日本|排球|竞技|排球少年|満仲勧|細谷佳正|青春|燃|满仲劝|岸本卓|日野聡|体育|2014年|石川界人|神谷浩史,https://chii.in/subject/84171
111,171,118335,進撃の巨人 Season 2,进击的巨人 第二季,2017,8.1,20716,进击的巨人|WITSTUDIO|热血|战斗|漫画改|2017年4月|TV|泽野弘之|漫改|2017|奇幻|荒木哲郎|ProductionI.G|续作|日本|肥塚正史|神作|剧情|第2期|悬疑|2017年|猎奇|神谷浩史|谏山创|梶裕贵|小林靖子|燃|Production.I.G|战争|WIT_STUDIO,https://chii.in/subject/118335
112,172,119394,昭和元禄落語心中,昭和元禄落语心中,2016,8.1,3631,studiodeen|2016年1月|TV|漫画改|落语|石田彰|2016|昭和元禄落語心中|漫改|畠山守|関智一|林原惠|山寺宏一|小俣真一|熊谷纯|日本|历史|治愈|剧情|STUDIO_DEEN|2016年|林原惠美|文化|熊谷純|关智一|TVA|神作|小林优|雲田はるこ|季番,https://chii.in/subject/119394
113,173,10639,Fate/Zero,Fate/Zero,2011,8.1,29862,Fate|虚渊玄|Type-Moon|ufotable|第四次圣杯战争|2011年10月|TV|Saber|战斗|奈绪蘑菇|2011|奇幻|前传|梶浦|小说改|老爸和他的基友|轻小说改|zero|日本|热血|三王|轻改|梶浦由记|青木英|蘑菇|游戏改|神作|金闪闪|梶浦由記|あおきえい,https://chii.in/subject/10639
114,177,288,ひぐらしのなく頃に解,寒蝉鸣泣之时 解,2007,8.1,12420,悬疑|龙骑士07|寒蝉鸣泣之时解|惊悚|TV|2007年7月|游戏改|寒蝉鸣泣之时|2007|ひぐらしのなく頃に解|噩梦的结束|studiodeen|治愈|寒蝉|GAL改|轮回|社会问题|今千秋|解|日本|猎奇|神作|伦理学|致郁|推理|中原麻衣|奇幻|续作|2007年|STUDIO_DEEN,https://chii.in/subject/288
115,178,285901,ゴールデンカムイ 第3期,黄金神威 第三季,2020,8.1,3367,2020年10月|TV|冒险|漫画改|搞笑|Genostudio|黄金神威|2020|漫改|美食|历史|战斗|续作|難波日登志|日本|高木登|热血|群像|难波日登志|小林親弘|2020年|2020秋|剧情|ジェノスタジオ|日本动画|神作|动画|2020s|末廣健一郎|补旧番,https://chii.in/subject/285901
118,182,22588,バクマン。2,爆漫王。2,2011,8.1,5234,小畑健|励志|食梦者|J.C.STAFF|燃|2011年10月|TV|Bakuman|大场鸫|JUMP|漫画改|2011|漫画家|少年jump|漫改|热血|爆漫|阿部敦|青春|冈本信彦|日野聪|日本|秋田谷典昭|吉田玲子|笠井贤一|职场|续作|恋爱|十月番|2011年,https://chii.in/subject/22588
119,183,794,電脳コイル,电脑线圈,2007,8.1,4698,科幻|MADHouse|电脑线圈|TV|2007|原创|磯光雄|神作|内涵|VR眼镜|SF|不看人生不完整|数字化|百合|科技|童年|2007年5月|矶光雄|2007年4月|日本|治愈|coil|2007年|本田雄|折笠富美子|半年番|井上俊之|桑岛法子|动画|生活,https://chii.in/subject/794
120,184,512190,瑠璃の宝石,琉璃的宝石,2025,8.1,8226,StudioBind|科普|漫画改|日常|2025年7月|TV|矿物|2025|藤井慎吾|轻百合|日本|漫改|百合|治愈|横手美智子|2025年|TVA|轻百|CygamesPictures|萌|琉璃的宝石|校园|スタジオバインド|季番|搞笑|萌豚|萌系|日本动画|地质|2025夏,https://chii.in/subject/512190
121,185,1029,ef - a tale of melodies.,悠久之翼2,2008,8.1,5814,新房昭之|大沼心|ef|SHAFT|GAL改|催泪|TV|minori|天门|2008年10月|ef_a_tale_of_melodies.|2008|游戏改|恋爱|GAL|黑历史|新房|治愈|校园|日本|爱情|黑白优子画最高！|神作|致郁|悠久之翼|续作|虐心|2008年|七尾奈留|奇幻,https://chii.in/subject/1029
