title,year,genre,mal_score,mal_rank,mal_votes,mal_percentile,imdb_score,imdb_rank,imdb_votes,imdb_percentile,bgm_score,bgm_rank,bgm_votes,bgm_percentile
Hibike! Euphonium 2,2016,Drama,8.34,160,135196,20.5,,,,,,,,
86,2021,Drama|Sci-Fi|Action,8.34,161,498341,20.0,8.2,123.0,14019.0,18.67,7.6,16.0,15666.0,40.0
IDOLiSH7 Third Beat! Part 2,2022,Drama,8.34,159,6026,21.0,,,,,,,,
Kono Subarashii Sekai ni Shukufuku wo! 3,2024,Adventure|Comedy|Fantasy,8.34,155,231422,23.0,,,,,,,,
Kimetsu no Yaiba: Mugen Ressha-hen,2021,Action|Supernatural|Adventure,8.34,157,580413,22.0,8.6,45.0,219083.0,70.67,,,,
Tensei shitara Slime Datta Ken 2nd Season,2021,Action|Comedy|Fantasy|Crime|Drama,8.34,156,637375,22.5,8.5,55.0,6972.0,64.0,,,,
Golden Kamuy: Saishuushou,2026,Action|Adventure,8.33,162,3502,19.5,,,,,,,,
Psycho-Pass,2012,Action|Mystery|Sci-Fi|Suspense,8.33,163,826619,19.0,,,,,,,,
Mushoku Tensei: Isekai Ittara Honki Dasu,2021,Adventure|Drama|Fantasy|Ecchi,8.33,164,956700,18.5,8.6,50.0,2655.0,67.33,,,,
Bakuman. 2nd Season,2011,Comedy|Drama|Romance,8.33,165,221301,18.0,,,,,,,,
Fate/stay night: Unlimited Blade Works 2nd Season,2015,Action|Fantasy,8.32,171,600858,15.0,,,,,7.5,18.0,17836.0,32.0
One Outs,2008,Sports|Suspense|Action|Adventure,8.32,170,122434,15.5,9.1,4.0,243125.0,98.0,,,,
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,2020,Drama|Fantasy|Suspense,8.32,169,744262,16.0,,,,,,,,
Bakemonogatari,2009,Mystery|Romance|Supernatural|Short|Comedy,8.32,166,767708,17.5,8.3,104.0,76.0,31.33,,,,
Kiseijuu: Sei no Kakuritsu,2014,Action|Horror|Sci-Fi|Suspense|Drama,8.32,168,1243074,16.5,8.2,132.0,61388.0,12.67,,,,
Usagi Drop,2011,Slice of Life,8.32,167,254355,17.0,,,,,,,,
Dr. Stone: New World Part 2,2023,Adventure|Comedy,8.31,172,223293,14.5,,,,,,,,
Major S6,2010,Sports,8.31,173,38881,14.0,,,,,,,,
Uma Musume: Pretty Derby Season 2,2021,Sports,8.31,174,55146,13.5,,,,,8.4,4.0,17016.0,88.0
NHK ni Youkoso!,2006,Comedy|Drama|Romance,8.31,175,368292,13.0,,,,,,,,
Ookami to Koushinryou II,2009,Adventure|Drama|Romance|Supernatural|Action,8.3,180,288641,10.5,8.7,29.0,217267.0,81.33,,,,
Natsume Yuujinchou,2008,Slice of Life|Supernatural,8.3,178,198794,11.5,,,,,,,,
